ID	Dataset	Reference			River/ReachName	Region	Slope	D50	Depth	width	drainage area	Lat	Long	PlateBDist	Subsurface grain size	Armor ratio	Large Wood (pieces/m2)	Percent Sedimentary
53	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Scott Creek 11	", Santa Cruz Mountains, CA, USA"	0.006	0.029	1.4875	11.6	20.1	37.09411	-122.250171	10000				0.466565628
54	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Scott Creek 12	", Santa Cruz Mountains, CA, USA"	0.0056	0.034	1.516666667	12.9	19.2	37.074633	-122.22222	10000				NaN
55	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Big Creek 24	", Santa Cruz Mountains, CA, USA"	0.0165	0.117	1.41	11.9	28.4	37.078274	-122.219368	10000				0.053623386
56	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Big Creek 25	", Santa Cruz Mountains, CA, USA"	0.0285	0.123	1.23	12.1	27.2	37.092563	-122.231803	10000				NaN
57	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Mill Creek 31	", Santa Cruz Mountains, CA, USA"	0.0237	0.062	1.1	6	7.56	37.097932	-122.22724	10000				0.006569845
58	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Mill Creek 32	", Santa Cruz Mountains, CA, USA"	0.0733	0.131	0.975	6.6	6.3	37.089469	-122.248688	10000				NaN
59	"Klier and Finnegan, Santa Cruz Mountains"	16	45	44	Boulder Creek 1	", Santa Cruz Mountains, CA, USA"	0.025	0.16	2	12.4	20.2	37.135	-122.1417	20000				0.736217793
60	"Klier and Finnegan, Santa Cruz Mountains"	16	45	44	Boulder Creek 2	", Santa Cruz Mountains, CA, USA"	0.031	0.2	2.3	7.5	21.7	37.14	-122.14	20000				NaN
61	"Klier and Finnegan, Santa Cruz Mountains"	16	45	44	Boulder Creek 3	", Santa Cruz Mountains, CA, USA"	0.02	0.19	2.3	16.2	23.1	37.145	-122.15	20000				NaN
62	"Klier and Finnegan, Santa Cruz Mountains"	16	45	44	Boulder Creek 4	", Santa Cruz Mountains, CA, USA"	0.02	0.17	2.3	17.5	29	37.135	-122.155	20000				NaN
63	"Mueller 2005, via Tom Lisle (personal comm)"	**and Lisle et al 2000	2	2	Jacoby Creek	"Northwestern California, USA"	0.0062	0.036	0.83			40.8258	-124.0372	50000	0.013	2.769230769		NaN
64	Scheingross- Angelo Reserve CA	31	58	57	"Misery Creek (Reach 5) near Eel River, CA"	", USA"	0.05	0.072	0.28	3.5	2	39.7161	-123.6034	20000				1
65	"Williams, 1978"	36	63	62	"Fall Creek near Lowell, OR"	", USA"	0.0026	0.066	0.81	26.5	305	43.9449	-122.7757	183848				0
66	"Williams, 1978"	36	63	62	"Luckiamute River near Hoskins, OR"	", USA"	0.0013	0.045	0.65	16.5	88	44.6754	-123.4683	125300				NaN
67	"Williams, 1978"	36	63	62	"Nestucca River near Beaver, OR"	", USA"	0.00021	0.045	1.21	39.6	466	45.2752	-123.829	89442.7				0.043881905
68	"Emmett, 1972"	10	39	38	"Hess Creek near Livengood, AK"	", USA"	0.002	0.0115	3.5052	27.432		65.6655	-149.0964	664906				NaN
69	"Williams, 1978"	36	63	62	"Thomas Creek near Scio, OR"	", USA"	0.003	0.048	0.71	24.7	282	44.7041	-122.8487	174642				1.26E-06
70	"Williams, 1978"	36	63	62	"Row River above Pitcher Creek near  Dorena, OR"	", USA"	0.00054	0.072	1.08	34.1	546.4847747	43.73611111	-122.8722222	170880				0
71	"Emmett, 1972"	10	39	38	"Salcha River nea Salchaket, AK"	", USA"	0.0008	0.0188	2.78892	99.06	5620.246261	64.47277778	-146.9238889	531413				NaN
72	"Emmett, 1972"	10	39	38	"Chena River near Two Rivers, AK"	", USA"	0.0017	0.019	1.23444	68.2752	2426.806796	64.90277778	-146.3569444	556597				NaN
73	"Emmett, 1972"	10	39	38	"Little Chena River near Fairbanks, AK"	", USA"	0.002	0.0135	3.5052	36.576	963.4707876	64.88611111	-147.2472222	572451				NaN
75	"O'Connor et al., 2014"	28	31	30	"Wilson River nr Tillamook, OR"	", USA"	0.000471	0.045	1.93		416.829	45.47611111	-123.7238889	89442.7				0
77	"Williams, 1978"	36	63	62	"Tonto Creek near Roosevelt, AZ"	", USA"	0.0012	0.02	0.92	57	1748.233284	33.98	-111.3027778	555428				0.481651619
78	"Stillwater Sciences, 2010"	33	60	59	Sespe Creek nr Fillmore	", Transverse Ranges, CA, USA"	0.009	0.07	3.43	170	652.428	34.44166667	-118.9263889	31622.8				0.93821056
79	"Andrews, 1994"	3	33	32	"Sagehen Creek,"	" Sierra Nevda California, USA"	0.01	0.058	0.41	4.85	27.19473997	39.43166667	-120.2369444	273130	0.03	1.933333333		0
80	"Lisle and Hilton, 1999; Seidl and Dietrich, 1992"	19	48	47	"Elder Creek nr Branscomb, CA"	", USA"	0.022	0.141	1.12		16.8285	39.72972222	-123.6427778	20000				1
81	Andrews 1984	2	7	7	"Yampa River near Maybell, CO"	", USA"	0.00088	0.034	1.85	83.8	8761.886222	40.50277778	-108.0327778	1151220	0.0067	5.074626866		NaN
82	"Foster, 2012"	12	41	40	"Slater Fork near Slater, CO"	", USA"	0.001	0.015	1.027176	14.539	391.0862606	40.9825	-107.3822222	1228740				NaN
83	Andrews 1984	2	7	7	"North Platte River near Northgate, CO"	", USA"	0.0014	0.024	0.972	47.2	3706.254562	40.93663889	-106.3391944	1294950	0.008	3		NaN
84	"Williams, 1978"	36	63	62	"Tomichi Creek at Gunnison, CO"	", USA"	0.0036	0.042	0.7	23.5	2747.963725	38.52111111	-106.9409583	1106930				0.282154526
85	Andrews 1984	2	7	7	"Elk River near Milner, CO"	", USA"	0.0037	0.064	1.45	36.6	1160.308906	40.51472222	-106.9533333	1222990	0.024	2.666666667		0.445150097
86	"Foster, 2012"	12	41	40	"Elkhead Creek above Long Gulch, near Hayden, CO"	", USA"	0.004	0.0671	1.02108	22.586	442.8857653	40.59166667	-107.3202778	1202210				1
87	Andrews 1984	2	7	7	"Williams Fork near Leal, CO"	", USA"	0.0044	0.043	0.731	17.5	231.8027836	39.83388889	-106.0558333	1247760	0.017	2.529411765		NaN
88	Andrews 1984	2	7	7	"Tomichi Creek at Sargents, CO"	", USA"	0.0046	0.046	0.518	11.6	383.3163349	38.39502778	-106.422625	1136530	0.014	3.285714286		NaN
89	Andrews 1984	2	7	7	"Crystal River above Avalanche Creek, CO"	", USA"	0.0058	0.098	0.844	34.1	432.5258643	39.23263889	-107.2275	1122540				0.868970223
90	Andrews 1984	2	7	7	"Lake Fork at Gateview, CO"	", USA"	0.0058	0.079	0.878	24.9	878.0016049	38.29888889	-107.2294444	1071540				0
91	Andrews 1984	2	7	7	"East River at Almont, CO"	", USA"	0.0067	0.091	0.911	26	748.5028431	38.66444444	-106.8475	1124010	0.036	2.527777778		NaN
92	Andrews 1984	2	7	7	"Little Snake River near Slater, CO"	", USA"	0.0071	0.122	1.13	30.5	652.6737594	40.99944444	-107.1427778	1245550				0.486290586
93	Andrews 1984	2	7	7	"Halfmoon Creek near Malta, CO"	", USA"	0.017	0.079	0.518	9.11	61.1	39.17222222	-106.3886111	1181060	0.023	3.434782609		0.04181708
94	Andrews 1984	2	7	7	"South Fork of Williams Fork near Leal, CO"	", USA"	0.015	0.073	0.427	9.21	70.96532146	39.79583333	-106.03	1243260	0.013	5.615384615		0
95	Andrews 1984	2	7	7	"Michigan River near Cameron Pass, CO"	", USA"	0.026	0.049	0.201	2.32	3.988561863	40.49611111	-105.8644444	1297110	0.019	2.578947368		NaN
96	Torizzo and Pitlick 2004	34	61	60	"Leavenworth Creek, CO"	", USA"	0.0363	0.08	0.6	4.5	31.07970283	39.68722222	-105.6997222	1265740	0.033	2.424242424		NaN
97	"Mulvihil et al., 2009"	26	54	53	"Tenmile River near Gaylordsville, CT"	", USA"	0.002	0.058928	1.84912	31.4757	525.7649728	41.65876389	-73.52868333	3916950				0.939233677
98	"Bent and Waite, 2013"	5	35	34	"Stony Brook near West Suffield, CT"	", USA"	0.0064	0.07083	0.505968	13.33	26.9256	41.96055556	-72.71083333	3987430				NaN
99	"Bent and Waite, 2013"	5	35	34	"Hubbard River near West Hartland, CT"	", USA"	0.0236	0.17945	0.697992	22.3266	51.5211	42.03722222	-72.93944444	3968070				0.607492492
100	"King et al., 2004; Mueller et al., 2005"	15	44	43	"North Fork Clearwater River near Canyon Ranger Station, ID"	", USA"	0.0005	0.095	2.78	84	3341.068054	46.84055556	-115.6211111	710211	0.023	4.130434783		NaN
101	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Johnson Creek at Yellow Pine, ID"	", USA"	0.004	0.19	1.01	24	564.6146014	44.96166667	-115.5	743236				0
102	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Selway River near Lowell, ID"	", USA"	0.0021	0.173	2.54	89.2	4959.802576	46.08666667	-115.5138889	718401	0.024	7.208333333		0.269697242
103	"King et al., 2004; Mueller et al., 2005"	15	44	43	"South Fork Payette River at Lowman, ID"	", USA"	0.004	0.11	0.95	51.5	1155.128955	44.08527778	-115.6222222	753923	0.02	5.5		0
104	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Salmon River near Shoup, ID"	", USA"	0.0019	0.096	1.85	85.2	16161.44547	45.3225	-114.44	815966	0.028	3.428571429		NaN
105	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Boise River near Twin Springs, ID"	", USA"	0.0038	0.076	1.38	59.1	2154.859396	43.66805556	-115.7252778	746324	0.023	3.304347826		0
106	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Middle Fork Salmon River at Middle Fork Lodge near Yellow Pine, ID"	", USA"	0.0041	0.146	1.43	61.1	2693.574245	44.72166667	-115.0163889	782943	0.036	4.055555556		0.00544357
107	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Lochsa River near Lowell, ID"	", USA"	0.0023	0.148	2.7	77.3	3056.170778	46.15083333	-115.5872222	718401				0.243064522
108	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Valley Creek at Stanley, ID"	", USA"	0.0042	0.04	0.79	24.7	385.9063101	44.2225	-114.9311111	800562	0.021	1.904761905		0.392851
109	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Salmon River below Yankee Fork near Clayton, ID"	", USA"	0.0034	0.104	1.82	36.3	2090.110015	44.26833333	-114.7327778	813941	0.025	4.16		NaN
110	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Thompson Creek near Clayton, ID"	", USA"	0.0153	0.062	0.33	6.4	75.36827936	44.27027778	-114.5166667	836301				0.736582454
111	"King et al., 2004; Mueller et al., 2005"	15	44	43	"South Fork Salmon River near Krassel Ranger Station, ID"	", USA"	0.0025	0.038	1.72	34.2	854.6918277	44.98694444	-115.725	720902				0
112	"King et al., 2004; Mueller et al., 2005"	15	44	43	"Squaw Creek below Bruno Creek near Clayton, ID"	", USA"	0.01	0.046	0.44	11.3	185.4422269	44.29083333	-114.4716667	836301				0.621080652
113	"Bent and Waite, 2013"	5	35	34	"Charles River at Dover, MA"	", USA"	0.0008	0.01813	1.210056	30.06852	473.787	42.25611111	-71.26055556	4109080				0.035405774
114	"Bent and Waite, 2013"	5	35	34	"Priest Brook near Winchendon, MA"	", USA"	0.002	0.01832	0.621792	16.93164	50.2266	42.6825	-72.11555556	4039830				0.014506063
115	"Bent and Waite, 2013"	5	35	34	"Wading River near Norton, MA"	", USA"	0.0024	0.02964	0.71628	12.39012	112.1037	41.9475	-71.17722222	4111120				NaN
116	"Bent and Waite, 2013"	5	35	34	"Old Swamp River near South Weymouth, MA"	", USA"	0.0046	0.05001	0.399288	10.83564	11.6505	42.19027778	-70.94527778	4128400				NaN
117	"Bent and Waite, 2013"	5	35	34	"North River at Shattuckville, MA"	", USA"	0.0052	0.06695	1.481328	32.40024	230.421	42.63833333	-72.72555556	3986290				0.716144472
118	"Bent and Waite, 2013"	5	35	34	"Sevenmile River near Spencer, MA"	", USA"	0.0053	0.03807	0.50292	9.66216	22.80909	42.265	-72.00527778	4045950				1
119	"Bent and Waite, 2013"	5	35	34	"West Branch Westfield River at Huntington, MA"	", USA"	0.0066	0.128	0.963168	37.84092	243.366	42.23722222	-72.89611111	3973160				0.457017919
120	"Bent and Waite, 2013"	5	35	34	"Green River near Colrain, MA"	", USA"	0.0075	0.09281	0.972312	31.9278	107.1846	42.70333333	-72.67111111	3988980				0.754801467
121	"Bent and Waite, 2013"	5	35	34	"Segreganset River at Dighton, MA"	", USA"	0.013	0.10169	0.59436	9.92124	27.4434	41.84027778	-71.14333333	4115850				1
122	"Krstolic and Chaplin, 2007"	17	46	45	"Choptank River near Greensboro, MD"	", USA"	0.0002	0.011	1.00584	35.33	292.6672016	38.99719444	-75.78580556	3678980				NaN
123	"White, 2001"	35	62	61	"Big Pipe Creek at Bruceville, MD"	", USA"	0.001	0.0224	1.865376	30.78	264.177474	39.61236111	-77.23744444	3593400				0.83026847
124	"McCandless and Everett, 2002"	22	51	50	"Big Elk Creek at Elk Mills, MD"	", USA"	0.0014	0.01797	1.34112	23.622	136.2326974	39.65705556	-75.82236111	3697570				0.720279537
125	"McCandless and Everett, 2002"	22	51	50	"Little Falls at Blue Mount, MD"	", USA"	0.0019	0.01873	1.49352	20.7264	137.00969	39.60408333	-76.62047222	3641170				0.89397783
126	"Keaton et al., 2005"	13	42	41	"Town Creek near Oldtown, MD"	", USA"	0.0028	0.0489	1.12776	40.2336	383.3163349	39.55322222	-78.555	3481740				NaN
127	"McCandless, 2003"	23	52	51	"NB Potomac River at Steyer, MD"	", USA"	0.003	0.084	1.58496	35.26536	189.3271897	39.30188889	-79.30688889	3410590				1
128	"Keaton et al., 2005"	13	42	41	"Wills Creek near Cumberland, MD"	", USA"	0.0035	0.12	1.15824	50.29	639.7238832	39.66961111	-78.78802778	3467710				1
129	"Cinotto, 2003"	9	38	37	"Morgan Run near Louisville, MD"	", USA"	0.004	0.027	0.844296	20.787	72.5193066	39.45188889	-76.95530556	3599900				0.979960914
130	"McCandless, 2003"	23	52	51	"Casselman River at Grantsville, MD"	", USA"	0.004	0.086	0.97536	38.34384	161.8734522	39.70219444	-79.13638889	3440480				1
131	"McCandless, 2003"	23	52	51	"Sideling Hill Creek near Bellegrove, MD"	", USA"	0.004	0.051	1.49352	35.75304	264.177474	39.64952778	-78.34413889	3494980				1
132	"McCandless and Everett, 2002"	22	51	50	"Long Green Creek at Glen Arm, MD"	", USA"	0.0165	0.13281	0.57912	13.28928	24.34576721	39.45469444	-76.47888889	3639260				NaN
133	"McCandless, 2003"	23	52	51	"Bear Creek at Friendsville, MD"	", USA"	0.021	0.152	0.9144	21.09216	126.649789	39.65613889	-79.39411111	3418130				1
134	"Rachol and Boley-Morse, 2009"	30	57	56	"Looking Glass River near Eagle, MI"	", USA"	0.00073	0.019	0.957072	27.55392	725.193066	42.82805556	-84.75944444	3010810				1
135	"Rachol and Boley-Morse, 2009"	30	57	56	"South Branch Au Sable River near Luzerne, MI"	", USA"	0.00155	0.021	0.682752	26.60904	1038.580069	44.61472222	-84.45555556	3077170				1
136	"Rachol and Boley-Morse, 2009"	30	57	56	"Thornapple River near Hastings, MI"	", USA"	0.0017	0.03	1.344168	56.96712	997.1404657	42.61583333	-85.23638889	2973210				1
137	"Rachol and Boley-Morse, 2009"	30	57	56	"Black River near Garnet, MI"	", USA"	0.0179	0.095	0.576072	10.94232	72.5193066	46.11805556	-85.36527778	3025920				1
138	"Lawlor, 2004"	18	47	46	"Little Blackfoot River near Garrison, MT"	", USA"	0.003	0.027	0.82296	17.3736	1054.119921	46.51948333	-112.7931722	931719				0.464718869
139	"Lawlor, 2004"	18	47	46	"Flint Creek at Maxville, MT"	", USA"	0.003	0.028	0.82296	13.716	538.714849	46.46375833	-113.2402778	892693				0.910634566
140	"Foster, 2012"	12	41	40	"Little Bighorn River at State Line, near Wyola, MT"	", USA"	0.01	0.1046	0.755904	17.617	471.3754929	45.00711111	-107.6154083	1347150				1
141	"Chase, 2004"	8	37	36	"Hanging Woman Creek near Birney, MT"	", USA"	0.014	0.04	0.24384	2.0726	1217.288361	45.29906389	-106.5081667	1427200				1
142	"Foster, 2012"	12	41	40	"Rock Creek near Red Lodge, MT"	", USA"	0.014	0.15	0.691896	20.02	271.9473997	45.08614722	-109.3291889	1217580				0
143	"Lawlor, 2004"	18	47	46	"Boulder Creek at Maxville, MT"	", USA"	0.018	0.105	0.54864	10.0584	184.6652343	46.47165278	-113.2357694	892693				0.64153992
144	"Lawlor, 2004"	18	47	46	"Mill Creek above Bassoo Creek near Niaranda, MT"	", USA"	0.028	0.058	0.3048	5.7912	50.76351462	47.82982778	-114.6978333	790569				NaN
145	"Lawlor, 2004"	18	47	46	"South Crow Creek near Ronan, MT"	", USA"	0.053	0.11	0.39624	5.4864	19.60611253	47.49143611	-114.0266444	832947				1
146	"Foster, 2012"	12	41	40	"Gardner River near Mammoth, YNP"	", USA"	0.011	0.1149	0.789432	22.07	523.1749976	44.99234444	-110.690975	1110000				NaN
147	"Williams, 1978"	36	63	62	"San Francisco River near Glenwood, NM"	", USA"	0.004	0.035	0.55	16.5	4281.229064	33.24716667	-108.88	737564				0.289161464
148	"Williams, 1978"	36	63	62	"Rio Fernando de Taos near Taos, NM"	", USA"	0.0154	0.076	0.5	3.4	172.4923507	36.43944444	-105.5036111	1136000				NaN
149	"King et al., 2004"	15	44	43	"Jarbidge River below Jarbidge, NV"	", USA"	0.015	0.0905	0.73		79.25324221	41.89055556	-115.4277778	740608				0.066730621
150	"King et al., 2004"	15	44	43	"Bruneau River at Rowland, NV"	", USA"	0.0049	0.04	1.03		989.37054	41.93333333	-115.6736111	721110				0.44948752
151	"Mulvihil et al., 2009"	26	54	53	"East Branch of Delaware River at Margaretville, NY"	", USA"	0.001	0.061468	1.524	45.4152	422.1659634	42.14472222	-74.65361111	3827580				1
152	"Mulvihil et al., 2009"	26	54	53	"West Branch Delaware River at Walton, NY"	", USA"	0.001	0.048768	1.41732	74.2188	859.8717782	42.16611111	-75.14	3786360				1
153	"Mulvihil et al., 2009"	26	54	53	"Cazenovia Creek at Ebenezer, NY"	", USA"	0.001	0.020574	1.45288	52.60848	349.6466568	42.82982778	-78.775	3493220				1
154	"Mulvihil et al., 2009"	26	54	53	"Tonawanda Creek at Rapids, NY"	", USA"	0.001	0.018288	2.06248	56.9976	903.9013572	43.09305556	-78.63611111	3511410				1
